"Código Inmueble","Habitaciones","Baños","Estrato","Barrio Común","Precio","Antiguedad","Área Construida","Área Privada","Valor Administración","Parqueaderos"
"11704-M5261729","5","5","5","Estadio Laureles","$1.550.000.000","Más de 20 años","450 m²","234 m²","No Encontrado","2"
"11704-M5038790","5","5","5","Medellin","$5.600.000.000","Entre 5 y 10 años","710 m²","3092 m²","No Encontrado","4"
"11469-M4798670","4","4","6","Las Palmas","$4.500.000.000","Entre 10 y 20 años","460 m²","460 m²","4
Habitaciones","4"
"687-M3264001","4","5","6","EL POBLADO","$1.050.000.000","Entre 5 y 10 años","262 m²","262 m²","4
Habitaciones","2"
"597-M4579026","3","5","5","EL POBLADO SAN LUCAS","$1.400.000.000","Más de 20 años","330 m²","330 m²","3
Habitaciones","2"
"687-M2200040","3","4","6","poblado","$940.000.000","Más de 20 años","267 m²","267 m²","3
Habitaciones","2"
"687-M2435913","3","4","6","EL POBLADO","$1.780.000.000","Entre 10 y 20 años","376 m²","376 m²","3
Habitaciones","3"
"11704-M5114770","4","4","6","Poblado","$2.100.000.000","Más de 20 años","500 m²","1328 m²","4
Habitaciones","4"
"11704-M4992048","4","4","6","El Poblado","$1.600.000.000","Más de 20 años","260 m²","260 m²","4
Habitaciones","2"
"16187-M5184832","1","1","3","Santa Elena","$670.000.000","Entre 0 y 5 años","70 m²","50 m²","1
Habitaciones","3"
"11704-M5170847","3","4","6","Poblado","$5.000.000.000","Entre 10 y 20 años","540 m²","5623 m²","No Encontrado","3"
"5570-M4662857","5","5","6","EL POBLADO LOS BALSOS","$7.800.000.000","Más de 20 años","970 m²","970 m²","5
Habitaciones","4"
"11704-M4936599","5","5","5","Medellin","$2.000.000.000","Más de 20 años","276 m²","189 m²","No Encontrado","1"
"687-M3115645","4","5","6","ALTO DE LAS PALMAS","$4.500.000.000","Entre 10 y 20 años","750 m²","750 m²","4
Habitaciones","2"
"11704-M4992859","4","3","4","Santa Monica La America Medellin","$1.000.000.000","Más de 20 años","186 m²","135 m²","No Encontrado","4"
"11704-M5349531","5","3","4","La America","$700.000.000","Más de 20 años","270 m²","125 m²","No Encontrado","1"
"11704-M5256132","4","4","6","San Lucas","$1.600.000.000","Más de 20 años","331 m²","331 m²","4
Habitaciones","4"
"5570-M3597862","3","5","6","EL POBLADO LAS PALMAS","$4.900.000.000","Entre 10 y 20 años","540 m²","540 m²","3
Habitaciones","4"
"687-M2770392","3","3","6","EL POBLADO","$1.220.000.000","Más de 20 años","266 m²","266 m²","3
Habitaciones","4"
"11704-M5302575","4","4","6","Poblado","$1.590.000.000","Más de 20 años","346 m²","449 m²","4
Habitaciones","4"
"687-M4256748","3","3","6","EL POBLADO","$1.540.000.000","Más de 20 años","250 m²","250 m²","3
Habitaciones","3"
"11704-M4994885","4","3","4","Santa Monica La America Medellin","$1.000.000.000","Más de 20 años","186 m²","135 m²","No Encontrado","4"
"11704-M5217377","5","4","5","Los Colores","$1.600.000.000","Más de 20 años","337 m²","229 m²","No Encontrado","2"
"687-M5108830","3","4","6","EL POBLADO","$2.000.000.000","Entre 5 y 10 años","250 m²","250 m²","3
Habitaciones","2"
"687-M5359705","3","5","5","EL POBLADO","$2.530.000.000","Entre 5 y 10 años","361 m²","361 m²","3
Habitaciones","4"
"687-M5281216","4","5","5","EL POBLADO","$1.850.000.000","Entre 5 y 10 años","340 m²","340 m²","4
Habitaciones","4"
"13439-M5005128","4","5","6","El Poblado","$14.000.000.000","Entre 10 y 20 años","900 m²","900 m²","4
Habitaciones","4"
"17675-M5356275","5","5","5","El Poblado","$1.450.000.000","Entre 0 y 5 años","290 m²","290 m²","5
Habitaciones","2"
"16351-M4571564","3","4","5","Laureles","$1.100.000.000","Más de 20 años","201 m²","201 m²","No Encontrado","2"
"2328-M3727841","5","5","6","El Monte Las Palmas","$11.500.000.000","Entre 10 y 20 años","1009 m²","1009 m²","No Encontrado","4"
"16825-M5042637","3","2","3","CALASANZ","$580.000.000","Más de 20 años","126 m²","126 m²","3
Habitaciones","1"
"13439-M5067980","4","5","6","El Poblado","$7.280.000.000","Entre 0 y 5 años","755 m²","755 m²","4
Habitaciones","3"
"847-M5266476","3","5","6","El Diamante No 2","$980.000.000","Más de 20 años","320 m²","320 m²","3
Habitaciones","2"
"10583-M4751158","4","3","6","El Poblado Milla De Oro","$1.650.000.000","Más de 20 años","300 m²","300 m²","4
Habitaciones","2"
"12475-M4748935","3","4","6","Envigado El Chocho","$2.950.000.000","Entre 0 y 5 años","308 m²","308 m²","3
Habitaciones","2"
"12475-M5177840","3","4","6","El Poblado Cola Del Zorro","$1.960.000.000","Más de 20 años","259 m²","259 m²","3
Habitaciones","2"
"17134-M5014731","4","4","6","Loma De Los Gonzalez","$1.550.000.000","Entre 10 y 20 años","265 m²","265 m²","4
Habitaciones","4"
"16215-M5283241","4","3","2","Santa Elena","$840.000.000","Entre 0 y 5 años","200 m²","3400 m²","No Encontrado","4"
"12792-M4753009","3","4","5","BELEN LA PALMA","$750.000.000","Más de 20 años","167 m²","167 m²","3
Habitaciones","2"
"11976-M5047765","5","5","6","Altos Del Poblado","$3.700.000.000","Más de 20 años","634.33 m²","634.33 m²","5
Habitaciones","3"
"11086-M3726509","3","3","6","EL TESORO","$1.190.000.000","Más de 20 años","229.1 m²","229.1 m²","3
Habitaciones","2"
"10159-M5236912","5","5","5","Belen La Palma","$1.650.000.000","Más de 20 años","285 m²","285 m²","No Encontrado","4"
"14633-M4993578","5","5","5","LAURELES","$2.200.000.000","Remodelado","440 m²","440 m²","No Encontrado","2"
"10159-M5125919","4","5","6","Poblado","$1.350.000.000","Entre 10 y 20 años","187 m²","187 m²","4
Habitaciones","2"
"14778-M3671156","4","5","6","El Poblado","$1.420.000.000","Entre 10 y 20 años","380 m²","380 m²","4
Habitaciones","2"
"10159-M5289357","5","3","3","Villa Hermosa","$385.000.000","Entre 10 y 20 años","173 m²","173 m²","No Encontrado","No Encontrado"
"MC5358297","3","3","5","BELEN DE LA MOTA Nororiente","$430.000.000","Entre 5 y 10 años","144 m²","144 m²","3
Habitaciones","1"
"MC5300989","4","3","4","JARDINES DE SANTA MONICA Noroccidente","$1.250.000.000","Remodelado","240 m²","240 m²","No Encontrado","3"
"MC5304808","4","2","2","DOCE DE OCTUBRE Noroccidente","$550.000.000","Entre 10 y 20 años","180 m²","200 m²","No Encontrado","No Encontrado"
"MC5314878","3","3","4","LOS COLORES Nororiente","$545.000.000","Entre 10 y 20 años","110 m²","140 m²","3
Habitaciones","1"
